dt	activity	coherence	attention	channel	observed	roamX	roamY	flip	lit
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	reasoning	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
0.03333333333333333	0.62	0.85	0	tool	1	0	0	1	1
